2019-10-22 09:03:21.614 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-3] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@45a6d9a9: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2019-10-22 09:03:23.304 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-4] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [192.168.237.129:5672]
2019-10-22 09:03:23.326 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-4] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [192.168.237.129:5672]
2019-10-22 09:03:28.345 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-4] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@2cab7dde: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2019-10-22 09:03:28.375 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [192.168.237.129:5672]
2019-10-22 09:03:28.377 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [192.168.237.129:5672]
2019-10-22 09:03:33.387 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@73498e3b: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2019-10-22 09:03:33.407 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-6] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [192.168.237.129:5672]
2019-10-22 09:03:54.424 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-6] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [192.168.237.129:5672]
2019-10-22 09:03:54.433 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-6] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#5e6522a6:10/SimpleConnection@40f8d764 [delegate=amqp://guest@192.168.237.129:5672/, localPort= 56930]
2019-10-22 09:04:00.330 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.331 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.332 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.332 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.333 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.333 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
